metric,value
Bus:avg_utilization,0.789314
Bus:direction_rev_count,0
Bus:efficiency,0.333111
Bus:transferred_bytes,96064
Bus:transferred_payloads,32000
Host-0:2:avg_evict_wait_ns,0
Host-0:2:avg_latency_ns,1031.78
Host-0:2:bw_gbps,1.98204
Host-0:avg_evict_wait_ns,0
Host-0:avg_latency_ns,1031.78
Host-0:bw_gbps,1.98204
Host-0:cache_evict_count,0
Host-0:cache_hit_count,0
Host-0:random_seed,42
Host-0:req_count,500
id,type,memid,addr,send,arrive,bus_queuing,bus_time,switch_queuing,switch_time,snoop_evict,host_inv,dram_queuing,dram_time,total_time
154,Non-temporal read,2,28d68900,4049,5137,837,48,0,0,0,0,0,123,1088
156,Non-temporal read,2,369cdc00,4113,5169,857,48,0,0,0,0,0,71,1056
157,Non-temporal read,2,d7762c0,4145,5201,856,48,0,0,0,0,0,72,1056
158,Non-temporal read,2,8625900,4177,5233,857,48,0,0,0,0,0,71,1056
159,Non-temporal read,2,9c86440,4209,5265,857,48,0,0,0,0,0,71,1056
160,Non-temporal read,2,2b258dc0,4241,5297,857,48,0,0,0,0,0,71,1056
161,Non-temporal read,2,21013040,4273,5329,857,48,0,0,0,0,0,71,1056
162,Non-temporal read,2,594a700,4305,5361,857,48,0,0,0,0,0,71,1056
163,Non-temporal read,2,1a855200,4337,5393,857,48,0,0,0,0,0,71,1056
164,Non-temporal read,2,200096c0,4369,5425,857,48,0,0,0,0,0,71,1056
165,Non-temporal read,2,ed7b5c0,4401,5457,857,48,0,0,0,0,0,71,1056
166,Non-temporal read,2,e891140,4433,5489,857,48,0,0,0,0,0,71,1056
168,Non-temporal read,2,246780c0,4497,5521,825,48,0,0,0,0,0,71,1024
167,Non-temporal read,2,e0d1040,4465,5553,846,48,0,0,0,0,0,114,1088
169,Non-temporal read,2,3dcfecc0,4529,5585,857,48,0,0,0,0,0,71,1056
170,Non-temporal read,2,36bdb240,4561,5617,857,48,0,0,0,0,0,71,1056
171,Non-temporal read,2,20de7840,4593,5649,857,48,0,0,0,0,0,71,1056
172,Non-temporal read,2,2c308f80,4625,5681,857,48,0,0,0,0,0,71,1056
173,Non-temporal read,2,c63af40,4657,5713,857,48,0,0,0,0,0,71,1056
174,Non-temporal read,2,3d3632c0,4689,5745,857,48,0,0,0,0,0,71,1056
175,Non-temporal read,2,327f21c0,4721,5777,857,48,0,0,0,0,0,71,1056
176,Non-temporal read,2,9ea9780,4753,5809,857,48,0,0,0,0,0,71,1056
177,Non-temporal read,2,2cd48dc0,4785,5841,857,48,0,0,0,0,0,71,1056
178,Non-temporal read,2,e7b2e40,4817,5873,857,48,0,0,0,0,0,71,1056
179,Non-temporal read,2,359ffc00,4849,5905,857,48,0,0,0,0,0,71,1056
180,Non-temporal read,2,3d0b9840,4881,5937,857,48,0,0,0,0,0,71,1056
181,Non-temporal read,2,1ab02c80,4913,5969,857,48,0,0,0,0,0,71,1056
182,Non-temporal read,2,ad18900,4945,6001,857,48,0,0,0,0,0,71,1056
183,Non-temporal read,2,311adac0,4977,6033,857,48,0,0,0,0,0,71,1056
184,Non-temporal read,2,120a2bc0,5009,6065,857,48,0,0,0,0,0,71,1056
185,Non-temporal read,2,22ddcd80,5041,6097,857,48,0,0,0,0,0,71,1056
186,Non-temporal read,2,3e017c0,5073,6129,857,48,0,0,0,0,0,71,1056
187,Non-temporal read,2,15c27580,5105,6161,857,48,0,0,0,0,0,71,1056
188,Non-temporal read,2,2d915e40,5137,6193,857,48,0,0,0,0,0,71,1056
189,Non-temporal read,2,23764c00,5169,6225,857,48,0,0,0,0,0,71,1056
190,Non-temporal read,2,394e2400,5201,6257,857,48,0,0,0,0,0,71,1056
191,Non-temporal read,2,1fa13c80,5233,6289,857,48,0,0,0,0,0,71,1056
192,Non-temporal read,2,1a7d80c0,5265,6321,857,48,0,0,0,0,0,71,1056
193,Non-temporal read,2,eb5d940,5297,6353,857,48,0,0,0,0,0,71,1056
194,Non-temporal read,2,3da13e80,5329,6385,857,48,0,0,0,0,0,71,1056
195,Non-temporal read,2,1f282180,5361,6417,857,48,0,0,0,0,0,71,1056
196,Non-temporal read,2,2749540,5393,6449,857,48,0,0,0,0,0,71,1056
197,Non-temporal read,2,32a8b080,5425,6481,857,48,0,0,0,0,0,71,1056
198,Non-temporal read,2,14500700,5457,6513,857,48,0,0,0,0,0,71,1056
199,Non-temporal read,2,31bf5ac0,5489,6545,857,48,0,0,0,0,0,71,1056
200,Non-temporal read,2,25931e40,5521,6577,857,48,0,0,0,0,0,71,1056
201,Non-temporal read,2,3b7d9d00,5553,6609,857,48,0,0,0,0,0,71,1056
202,Non-temporal read,2,d7f5a40,5585,6641,857,48,0,0,0,0,0,71,1056
204,Non-temporal read,2,3f16bfc0,5649,6673,825,48,0,0,0,0,0,71,1024
203,Non-temporal read,2,20db59c0,5617,6705,847,48,0,0,0,0,0,113,1088
205,Non-temporal read,2,6368240,5681,6737,856,48,0,0,0,0,0,72,1056
206,Non-temporal read,2,2cfbd000,5713,6769,857,48,0,0,0,0,0,71,1056
207,Non-temporal read,2,3e0c3380,5745,6801,857,48,0,0,0,0,0,71,1056
208,Non-temporal read,2,30a812c0,5777,6833,857,48,0,0,0,0,0,71,1056
209,Non-temporal read,2,1643b340,5809,6865,857,48,0,0,0,0,0,71,1056
210,Non-temporal read,2,e8f2600,5841,6897,857,48,0,0,0,0,0,71,1056
211,Non-temporal read,2,364d0f40,5873,6929,857,48,0,0,0,0,0,71,1056
212,Non-temporal read,2,1f09e040,5905,6961,857,48,0,0,0,0,0,71,1056
213,Non-temporal read,2,14913280,5937,6993,857,48,0,0,0,0,0,71,1056
214,Non-temporal read,2,3926c580,5969,7025,857,48,0,0,0,0,0,71,1056
215,Non-temporal read,2,855bb40,6001,7057,857,48,0,0,0,0,0,71,1056
216,Non-temporal read,2,30bb4200,6033,7089,857,48,0,0,0,0,0,71,1056
217,Non-temporal read,2,265442c0,6065,7121,857,48,0,0,0,0,0,71,1056
218,Non-temporal read,2,19061ac0,6097,7153,857,48,0,0,0,0,0,71,1056
219,Non-temporal read,2,3c4f9e80,6129,7185,852,48,0,0,0,0,0,76,1056
221,Non-temporal read,2,2d0f5300,6193,7217,825,48,0,0,0,0,0,71,1024
229,Non-temporal read,2,22d30240,6449,7249,601,48,0,0,0,0,0,71,800
230,Non-temporal read,2,127780c0,6481,7281,601,48,0,0,0,0,0,71,800
232,Non-temporal read,2,2296d800,6545,7313,569,48,0,0,0,0,0,71,768
235,Non-temporal read,2,2a6c480,6641,7345,505,48,0,0,0,0,0,71,704
236,Non-temporal read,2,837bc40,6673,7377,505,48,0,0,0,0,0,71,704
225,Non-temporal read,2,27041800,6321,7409,473,48,0,0,0,0,0,487,1088
222,Non-temporal read,2,14ac2b40,6225,7441,501,48,0,0,0,0,0,587,1216
224,Non-temporal read,2,3e38dc00,6289,7473,529,48,0,0,0,0,0,527,1184
223,Non-temporal read,2,1f987040,6257,7505,557,48,0,0,0,0,0,563,1248
238,Non-temporal read,2,173e10c0,6737,7537,584,48,0,0,0,0,0,88,800
233,Non-temporal read,2,31b8fc40,6577,7569,598,48,0,0,0,0,0,266,992
220,Non-temporal read,2,19b93bc0,6161,7601,625,48,0,0,0,0,0,687,1440
227,Non-temporal read,2,1ac56bc0,6385,7633,653,48,0,0,0,0,0,467,1248
228,Non-temporal read,2,831b580,6417,7665,681,48,0,0,0,0,0,439,1248
226,Non-temporal read,2,58c0500,6353,7697,686,48,0,0,0,0,0,530,1344
234,Non-temporal read,2,10502c80,6609,7729,714,48,0,0,0,0,0,278,1120
231,Non-temporal read,2,30c7dc0,6513,7761,739,48,0,0,0,0,0,381,1248
241,Non-temporal read,2,2d14ea00,6833,7793,748,48,0,0,0,0,0,84,960
239,Non-temporal read,2,36dd7740,6769,7825,771,48,0,0,0,0,0,157,1056
240,Non-temporal read,2,11a1ac40,6801,7857,799,48,0,0,0,0,0,129,1056
242,Non-temporal read,2,2816eb80,6865,7889,825,48,0,0,0,0,0,71,1024
243,Non-temporal read,2,2181c00,6897,7921,825,48,0,0,0,0,0,71,1024
237,Non-temporal read,2,14b07740,6705,7953,853,48,0,0,0,0,0,267,1248
244,Non-temporal read,2,25353180,6929,7985,857,48,0,0,0,0,0,71,1056
245,Non-temporal read,2,239fc7c0,6961,8017,857,48,0,0,0,0,0,71,1056
246,Non-temporal read,2,2e254cc0,6993,8049,879,48,0,0,0,0,0,49,1056
247,Non-temporal read,2,cf51d80,7025,8081,879,48,0,0,0,0,0,49,1056
248,Non-temporal read,2,1a205a80,7057,8113,879,48,0,0,0,0,0,49,1056
249,Non-temporal read,2,2f42f540,7089,8145,857,48,0,0,0,0,0,71,1056
250,Non-temporal read,2,269f1940,7121,8177,857,48,0,0,0,0,0,71,1056
251,Non-temporal read,2,4287200,7153,8209,857,48,0,0,0,0,0,71,1056
252,Non-temporal read,2,22be1b00,7185,8241,857,48,0,0,0,0,0,71,1056
253,Non-temporal read,2,2e603a00,7217,8273,857,48,0,0,0,0,0,71,1056
254,Non-temporal read,2,138fbe00,7249,8305,857,48,0,0,0,0,0,71,1056
256,Non-temporal read,2,950ff40,7313,8337,825,48,0,0,0,0,0,71,1024
